min	:	s	.	cs	delay [s]	interval(s)	comment	pl	en	
0	:	00	.	00	0.00	Func(set_modes_and_filters, PRESETS[1])	Ustawiamy preset			
0	:	00	.	03	0.03	Func(set_card[8].show)	pierwszy pik	1.07	1	
0	:	01	.	10	1.10	Sequence(Func(set_card[8].removeNode), Func(set_card[9].show))	drugi pik	1.26	1+2	for example, around 001: 38- 001: 43 this is the peak
0	:	02	.	36	2.36	Sequence(Func(set_card[9].removeNode), Func(set_card[10].show))	trzeci pik	1.11	1+2+3	
0	:	03	.	47	3.47	Sequence(Func(set_card[10].removeNode), Func(set_card[11].show))	czwarty pik	1.26	1+2+3+4	
0	:	04	.	73	4.73	Sequence(Func(set_card[11].removeNode), Func(set_card[12].show))	piaty pik	1.43	1 + 2 + 3 + 4 + text, Hold for 0.50s and turn it off, all hard	
0	:	05	.	31	5.31	Func(set_card[12].removeNode)	end of piaty pik			
0	:	06	.	16	6.16	Sequence(Func(set_card[6].show), Func(set_card[7].show), Func(subtitles[0].show), LerpPosInterval(set_card[6], 2.25, (0, 0, 0),  (0, 0, 1.9), blendType='easeOut'), LerpPosInterval(set_card[6], 2.25, (0, 0, 1.9),  (0, 0, 0), blendType='easeIn'), Func(subtitles[0].destroy))	plansza Kroniki filmowej	2.25	Parallel(Func(set_card[6].show), Func(set_card[7].show), Sequence(LerpPosInterval(set_card[6], 2.25, (0, 0, .3),  (0, 0, 1.3), blendType='easeOut'), LerpPosInterval(set_card[6], 2.25, (0, 0, 1.3),  (0, 0, 0), blendType='easeIn')))	
0	:	10	.	66	10.66	Parallel(Func(set_card[6].detachNode), display_sequence, LerpColorScaleInterval(set_card[7], 5, (1, 1, 1, 0), (1, 1, 1, 1)))	poczatek przejscia w Chiptune	Parallel(display_sequence, LerpColorScaleInterval(models['lead'], 5, (1, 1, 1, 0), (1, 1, 1, 1)))		
0	:	15	.	66	15.66	Func(set_card[7].detachNode)	koniec przejscia	Func(models['lead'].detachNode)		
0	:	25	.	02	25.02	Func(display_cleanup)	czyszczenie particles			
0	:	25	.	12	25.12	Parallel(board_intervals['villa_0'], Func(subtitles[1].show))	Willa Kramstow, Func(models['villa_0'].reparent_to, base.render)	The von Kramsta family villa		
0	:	26	.	56	26.56	Sequence(Func(subtitles[1].destroy), Func(subtitles[2].show))		a villa with a garden		
0	:	28	.	22	28.22	board_intervals['villa_garden']	willa z ogrodem			
0	:	29	.	56	29.56	Sequence(Func(subtitles[2].destroy), Func(subtitles[3].show))		built in the third quarter of the 19th century		
0	:	31	.	32	31.32	board_intervals['spodek']	XIX wiek			
0	:	31	.	73	31.73	Sequence(Func(subtitles[3].destroy), Func(subtitles[4].show))		in the center of Katowice,		
0	:	33	.	11	33.11	Sequence(Func(subtitles[4].destroy), Func(subtitles[5].show))		at ul. Warszawska 37		
0	:	34	.	42	34.42	Sequence(Func(subtitles[5].destroy), Func(subtitles[6].show), board_intervals['villa_street'])	Katowic	it is entered in the register of immovable monuments of the Silesian Voivodeship.		
0	:	37	.	52	37.52	board_intervals['villa_1']	ul.Warszawskiej 37			
0	:	40	.	56	40.56	Parallel(Func(subtitles[6].destroy), Func(models['villa_1'].detachNode), Func(retro_card['retro_v1b.mkv'].show), Func(retro_tex['retro_v1b.mkv'].play))	pierwszy szum - poczatek (prawdziwy szum)	0.79		
0	:	41	.	35	41.35	Parallel(Func(retro_card['retro_v1b.mkv'].detachNode), Sequence(Func(subtitles[7].show), board_intervals['villa_3'], board_intervals['villa_4']))	pierwszy szum - koniec	W latach piecdziesiatych obiekt przydzielony zostal Klubowi Pracy Tworczej.	In the 1950s, the facility was assigned to the Creative Work Club.	
0	:	44	.	00	44.00	Parallel(Func(subtitles[7].hide), Func(retro_card['retro_v2.mkv'].show), Func(retro_tex['retro_v2.mkv'].play))	drugi szum - poczatek (prawdziwy szum)	0.19	Parallel(Func(retro_card['retro_v2'].show), Func(retro_tex['retro_v2'].play))	
0	:	44	.	19	44.19	Parallel(Func(retro_card['retro_v2.mkv'].detachNode), Func(subtitles[7].show))	drugi szum - koniec	oryginalnie: 44.19		
0	:	47	.	01	47.01	Sequence(Func(subtitles[7].destroy), Func(models['villa_4'].detachNode), Func(retro_card['retro_td.mkv'].show), Func(retro_tex['retro_td.mkv'].play))	efekt - poczatek	1.73		
0	:	48	.	74	48.74	Parallel(Func(retro_card['retro_td.mkv'].detachNode), Func(subtitles[8].show), board_intervals['signboard'])	efekt - koniec	od strony ul. Warszawskiej zajmowala redakcja efemerycznego tygodnika	from the side of ul. Warszawska was occupied by the editorial staff of the ephemeral weekly	
0	:	51	.	84	51.84	board_intervals['villa_2']				
0	:	52	.	21	52.21	Parallel(Func(models['villa_2'].detachNode), Func(subtitles[8].hide), Func(set_card[0].show))	szum 6x przerywany - 1 poczatek	set rector		
0	:	52	.	26	52.26	Parallel(Func(models['villa_2'].reparent_to, base.render), Func(set_card[0].detachNode), Func(subtitles[8].show))	szum 6x przerywany - 1 koniec			
0	:	52	.	35	52.35	Parallel(Func(models['villa_2'].detachNode), Func(set_card[1].show), Func(subtitles[8].hide))	szum 6x przerywany - 2 poczatek			
0	:	52	.	38	52.38	Parallel(Func(models['villa_2'].reparent_to, base.render), Func(set_card[1].detachNode), Func(subtitles[8].show))	szum 6x przerywany - 2 koniec			
0	:	52	.	40	52.40	Parallel(Func(models['villa_2'].detachNode), Func(set_card[2].show), Func(subtitles[8].hide))	szum 6x przerywany - 3 poczatek			
0	:	52	.	42	52.42	Parallel(Func(models['villa_2'].reparent_to, base.render), Func(set_card[2].detachNode), Func(subtitles[8].show))	szum 6x przerywany - 3 koniec			
0	:	52	.	45	52.45	Parallel(Func(models['villa_2'].detachNode), Func(set_card[3].show), Func(subtitles[8].hide))	szum 6x przerywany - 4 poczatek			
0	:	52	.	49	52.49	Parallel(Func(models['villa_2'].reparent_to, base.render), Func(set_card[3].detachNode), Func(subtitles[8].show))	szum 6x przerywany - 4 koniec			
0	:	52	.	52	52.52	Parallel(Func(models['villa_2'].detachNode), Func(set_card[4].show), Func(subtitles[8].hide))	szum 6x przerywany - 5 poczatek			
0	:	52	.	54	52.54	Parallel(Func(models['villa_2'].reparent_to, base.render), Func(set_card[4].hide), Func(subtitles[8].show))	szum 6x przerywany - 5 koniec			
0	:	52	.	56	52.56	Parallel(Func(models['villa_2'].detachNode), Func(set_card[5].show), Func(subtitles[8].hide))	szum 6x przerywany - 6 poczatek	0.18		
0	:	52	.	74	52.74	Parallel(Func(models['villa_2'].reparent_to, base.render), Func(set_card[5].detachNode), Func(subtitles[8].show))	szum 6x przerywany - 6 koniec			
0	:	53	.	38	53.38	Parallel(Func(models['villa_2'].detachNode), Func(retro_card['retro_rw.mkv'].show), Func(retro_tex['retro_rw.mkv'].play), Func(subtitles[8].hide))	(szum echo 2x)	0.89		
0	:	53	.	70	53.70		(szum echo 2x)			
0	:	54	.	27	54.27	Parallel(Func(retro_card['retro_rw.mkv'].detachNode), Func(retro_card['retro_sf.mkv'].show), Func(retro_tex['retro_sf.mkv'].play))	(szum z basowym efektem) - poczatek	1.06		
0	:	55	.	33	55.33	Parallel(Func(retro_card['retro_sf.mkv'].detachNode))	(szum z basowym efektem) - koniec			
0	:	55	.	38	55.38	Parallel(Func(retro_card['retro_v1.mkv'].show), Func(retro_tex['retro_v1.mkv'].play))	szum	0.32		
0	:	55	.	70	55.70	Parallel(Func(retro_card['retro_v1.mkv'].detachNode), Func(subtitles[9].show), board_intervals['p1'])	od kilku lat odbywaja sie tu zloty bandy komputerowcow	od kilku lat odbywaja sie tu zloty bandy komputerowcow	For several years, rallies of computer enthusiasts have been held here.	
0	:	58	.	80	58.80	board_intervals['p2']	demoscenowacmi (jakies zdjecie kwit z archiwow demosceny;)	samozwanczo nazywaja sie demoscenowcami		
0	:	61	.	73	61.73	Sequence(Func(subtitles[9].destroy), Func(subtitles[10].show))	They self-proclaimed themselves as Demoscene.			
