min,s,cons_s,spect_x,spect_y,spect_z,look_x,look_y,look_z,model,add,comment
0,0,0,18.5,9.6,2.8,17.6,9.6,2.9,,,
0,1,1,18.5,9.6,2.8,17.6,9.6,2.9,,,
0,2,2,18.5,9.6,2.8,17.6,9.6,2.9,,,
0,3,3,17.9,10,3.15,16.9,10,3.15,,,
0,4,4,17.9,10,3.15,16.9,10,3.15,,,
0,5,5,17.9,10,3.15,16.9,10,3.15,,,
0,6,6,17.9,10,3.15,16.9,10,3.15,,,
0,7,7,22.5,8.5,1.8,23.5,7.5,1.8,sign,0,
0,8,8,22.5,8.5,1.8,22.5,-8,1.8,,,
0,9,9,22.5,-7.5,1.8,22.5,-8,1.8,,,
0,10,10,22.5,-8,1.8,22.5,-27,1.8,,,
0,11,11,22.5,-27,1.8,21.5,-27,1.8,garden,0,
0,12,12,13,-27,1.8,12,-27,1.8,,,
0,13,13,13,-10,1.8,12,-10,1.8,,,
0,14,14,19.5,-9,1.8,18.5,-9,1.8,,,
0,15,15,19.5,-8,1.8,16.5,-3.5,2.5,garden_large,0,podium
0,16,16,19.5,-7.5,1.8,16.5,-3.5,2.5,entrance,1,
0,17,17,19.5,3.3,1.8,16.5,-3.5,2.5,podium,0,
0,18,18,17.5,3.8,1.8,9,3.8,0,room_1,1,entrance
0,19,19,9,3.8,0,8.5,3.8,0,,,
0,20,20,8.5,3.8,0,7,3.8,0,entrance,0,room_1
0,21,21,7,3.8,0,7,6,0,,,
0,22,22,7,6,0,2.5,6,0,,,
0,23,23,2.5,6,0,2.5,1.5,0,,,
0,24,24,2.5,1.5,0,7.5,1.5,0,room_2,1,
0,25,25,7.5,1.5,0,7.5,3.5,0,,,
0,26,26,7.5,3.5,0,2.5,3.5,0,,,
0,27,27,2.5,3.5,0,1,3.5,0,,,
0,28,28,1,3.5,0,-1,3.5,0,room_1,0,room_2
0,29,29,-1,3.5,0,-1.5,3.5,0,,,
0,30,30,-1.5,3.5,0,-1.5,1.5,0,,,
0,31,31,-1.5,1.5,0,-3,1.5,0,,,
0,32,32,-3,1.5,0,-3,7,0,room_3,1,
0,33,33,-3,7,0,-1,7,0,,,
0,34,34,-1,7,0,-1,3.5,0,,,
0,35,35,-1,3.5,0,-3,3.5,0,,,
0,36,36,-3,3.5,0,-4.5,3.5,0,,,
0,37,37,-4.5,3.5,0,-9.5,6.5,0,,,room_3
0,38,38,-9.5,6.5,0,-9.5,3.5,0,,,
0,39,39,-9.5,3.5,0,-4,3.5,0,,,
0,40,40,-4,3.5,0,0,3.5,0,,,
0,41,41,0,3.5,0,0,6,0,room_3,0,
0,42,42,0,6,0,0,6.5,0,bar,1,
0,43,43,0,6.5,0,1,6.5,0,,,
0,44,44,1,6.5,0,1,3.5,0,,,
0,45,45,1,3.5,0,1,2,0,,,
0,46,46,1,2,0,1,1,0,,,
0,47,47,1,1,0,1,0,0,,,
0,48,48,1,0,0,3.5,-2.5,1,room_2,0,bar
0,49,49,3.5,-2.5,1,6,-2.5,0,hall_low,1,
0,50,50,6,-2.5,0,6,-1.5,0,,,
0,51,51,6,-1.5,0,6,0,0,,,
0,52,52,6,0,0,3,0,0,,,
0,53,53,3,0,0,0,0,0,,,
0,54,54,0,0,0,-1.5,0,0,,,
0,55,55,-1.5,0,0,-1.5,-1,.35,,,hall_low
0,56,56,-1.5,-1,0,-1.5,-2.5,.35,bar,0,
0,57,57,-1.5,-2.5,.35,-3,-2.5,.35,,,
0,58,58,-3,-2.5,.35,-3,0,0,wc,1,
0,59,59,-3,0,0,-1.5,0,0,,,
1,0,60,-1.5,0,0,-1.5,-3.5,.35,,,
1,1,61,-1.5,-3.5,.35,-3,-3.5,.35,,,
1,2,62,-3,-3.5,.35,-4,-3.5,.35,,,wc
1,3,63,-4,-3.5,.35,-4.5,-3,.35,,,
1,4,64,-4.5,-3,.35,-5,-3.5,.35,,,
1,5,65,-5,-3.5,.35,-4.5,-4,.35,,,
1,6,66,-4.5,-4,.35,-4.75,-4.25,.35,,,
1,7,67,-4.75,-4.25,.35,-4.75,-4.5,.35,,,
1,8,68,-4.75,-4.5,.35,-4.75,-4.5,.35,,,
1,9,69,-4.75,-4.5,.35,-4.75,-4.5,.35,,,
1,10,70,-4.75,-4.5,.35,-4.5,-4.5,.35,,,
1,11,71,-4.5,-4.5,.35,-4.5,-3.5,.35,,,
1,12,72,-4.5,-3.5,.35,-2,-3.5,.35,stairs_low,1,
1,13,73,-2,-3.5,.35,-2,-1,0,wc,0,hall_low
1,14,74,-2,-1,0,-3,-1,0,,,
1,15,75,-3,-1,0,-8,-0.5,2,,,
1,16,76,-8,-0.5,2,-9.5,0,2,hall_low,0,stairs_low
1,17,77,-9.5,0,2,-9,-1,2,stairs_hi,1,
1,18,78,-9,-1,2,-9,-2.5,2,,,
1,19,79,-9,-2.5,2,-9,-4,2,,,
1,20,80,-9,-4,2,-9.5,-5,2,stairs_low,0,stairs_hi
1,21,81,-9.5,-5,2,-6.5,-4,3.1,register,1,
1,22,82,-6.5,-4,3.1,-6,-4,3.1,,,register
1,23,83,-6,-4,3.1,-5,-4,3.1,stairs_hi,0,
1,24,84,-5,-4,3.1,-1.5,-4,3.1,,,
1,25,85,-1.5,-4,3.1,-1.5,-7.5,3.1,,,
1,26,86,-1.5,-7.5,3.1,-5,-7.5,3.1,,,
1,27,87,-5,-7.5,3.1,-5,-4,3.1,,,
1,28,88,-5,-4,3.1,-5,-0.5,3.1,,,
1,29,89,-5,-0.5,3.1,-1.5,-0.5,3.1,,,
1,30,90,-1.5,-0.5,3.1,-5,-4,3.1,compo,1,
1,31,91,-5,-4,3.1,0,-4,3.1,,,
1,32,92,0,-4,3.1,3.5,-4,3.1,,,compo
1,33,93,3.5,-4,3.1,3.5,-4,3.1,,,
1,34,94,3.5,-4,3.1,3.5,-4,3.1,register,0,
