min,s,cons_s,spect_x,spect_y,spect_z,look_x,look_y,look_z,model,add,comment
0,0,0,3,3.5,0,2,3.5,0,,,room_2
0,1,1,2,3.5,0,1,3.5,0,,,
0,2,2,1,3.5,0,-1,3.5,0,,,
0,3,3,-1,3.5,0,-3,3.5,0,,,
0,4,4,-3,3.5,0,-3,5,0,,,
0,5,5,-3,5,0,-3,6,0,bar,1,
0,6,6,-3,6,0,-1,6,0,,,
0,7,7,-1,6,0,1,6,0,,,
0,8,8,1,6,0,1,3.5,0,,,
0,9,9,1,3.5,0,1,1,0,,,
0,10,10,1,1,0,1,.5,0,,,
0,11,11,1,.5,0,1,0,0,room_2,0,
0,12,12,1,0,0,3.5,-2.5,1,,,bar
0,13,13,3.5,-2.5,1,6,-2.5,0,hall_low,1,
0,14,14,6,-2.5,0,6,-1.5,0,,,
0,15,15,6,-1.5,0,6,0,0,,,
0,16,16,6,0,0,3,0,0,,,
0,17,17,3,0,0,0,0,0,,,
0,18,18,0,0,0,-1.5,0,0,,,
0,19,19,-1.5,0,0,-1.5,-1,0,bar,0,hall_low
0,20,20,-1.5,-1,0,-1.5,-2.5,0,,,
0,21,21,-1.5,-2.5,0,-3,-2.5,0,,,
0,22,22,-3,-2.5,0,-3,0,0,,,
0,23,23,-3,0,0,-1.5,0,0,wc,1,
0,24,24,-1.5,0,0,-1.5,-3.5,0,,,
0,25,25,-1.5,-3.5,0,-3,-3.5,0,,,
0,26,26,-3,-3.5,0,-4,-3.5,0,,,wc
0,27,27,-4,-3.5,0,-4.5,-3,0,,,
0,28,28,-4.5,-3,0,-5,-3.5,0,,,
0,29,29,-5,-3.5,0,-4.5,-4,0,,,
0,30,30,-4.5,-4,0,-4.75,-4.5,0,,,
0,31,31,-4.75,-4.5,0,-4.75,-4.5,.35,,,
0,32,32,-4.75,-4.5,.35,-4.75,-5,.35,,,
0,33,33,-4.75,-4.5,.35,-4.75,-5,.35,,,
0,34,34,-4.75,-4.5,.35,-4.75,-5,.35,,,
